id,response,demo,group
381,No,All,All
382,No,All,All
383,No,All,All
384,No,All,All
385,No,All,All
386,No,All,All
387,No,All,All
388,No,All,All
389,No,All,All
390,No,All,All
391,No,All,All
392,No,All,All
393,No,All,All
394,No,All,All
395,No,All,All
396,No,All,All
397,No,All,All
398,No,All,All
399,No,All,All
400,No,All,All
401,No,All,All
402,No,All,All
403,No,All,All
404,No,All,All
405,No,All,All
406,No,All,All
407,No,All,All
408,No,All,All
409,No,All,All
410,No,All,All
411,No,All,All
412,No,All,All
413,No,All,All
414,No,All,All
415,No,All,All
416,No,All,All
417,No,All,All
418,No,All,All
419,No,All,All
420,No,All,All
421,No,All,All
422,No,All,All
423,No,All,All
424,No,All,All
425,No,All,All
426,No,All,All
427,No,All,All
428,No,All,All
429,No,All,All
430,No,All,All
431,No,All,All
432,No,All,All
433,No,All,All
434,No,All,All
435,No,All,All
436,No,All,All
437,No,All,All
438,No,All,All
439,No,All,All
440,No,All,All
441,No,All,All
442,No,All,All
443,No,All,All
444,No,All,All
445,No,All,All
446,No,All,All
447,No,All,All
448,No,All,All
449,No,All,All
450,No,All,All
451,No,All,All
452,No,All,All
453,No,All,All
454,No,All,All
455,No,All,All
456,No,All,All
457,No,All,All
458,No,All,All
459,No,All,All
460,No,All,All
461,No,All,All
462,No,All,All
463,No,All,All
464,No,All,All
465,No,All,All
466,No,All,All
467,No,All,All
468,No,All,All
469,No,All,All
470,No,All,All
471,No,All,All
472,No,All,All
473,No,All,All
474,No,All,All
475,No,All,All
476,No,All,All
477,No,All,All
478,No,All,All
479,No,All,All
480,No,All,All
481,No,All,All
482,No,All,All
483,No,All,All
484,No,All,All
485,No,All,All
486,No,All,All
487,No,All,All
488,No,All,All
489,No,All,All
490,No,All,All
491,No,All,All
492,No,All,All
493,No,All,All
494,No,All,All
495,No,All,All
496,No,All,All
497,No,All,All
498,No,All,All
499,No,All,All
500,No,All,All
501,No,All,All
502,No,All,All
503,No,All,All
504,No,All,All
505,No,All,All
506,No,All,All
507,No,All,All
508,No,All,All
509,No,All,All
510,No,All,All
511,No,All,All
512,No,All,All
513,No,All,All
514,No,All,All
515,No,All,All
516,No,All,All
517,No,All,All
518,No,All,All
519,No,All,All
520,No,All,All
521,No,All,All
522,No,All,All
523,No,All,All
524,No,All,All
525,No,All,All
526,No,All,All
527,No,All,All
528,No,All,All
529,No,All,All
530,No,All,All
531,No,All,All
532,No,All,All
533,No,All,All
534,No,All,All
535,No,All,All
536,No,All,All
537,No,All,All
538,No,All,All
539,No,All,All
540,No,All,All
541,No,All,All
542,No,All,All
543,No,All,All
544,No,All,All
545,No,All,All
546,No,All,All
547,No,All,All
548,No,All,All
549,No,All,All
550,No,All,All
551,No,All,All
552,No,All,All
553,No,All,All
554,No,All,All
555,No,All,All
556,No,All,All
557,No,All,All
558,No,All,All
559,No,All,All
560,No,All,All
561,No,All,All
562,No,All,All
563,No,All,All
564,No,All,All
565,No,All,All
566,No,All,All
567,No,All,All
568,No,All,All
569,No,All,All
570,No,All,All
571,No,All,All
572,No,All,All
573,No,All,All
574,No,All,All
575,No,All,All
576,No,All,All
577,No,All,All
578,No,All,All
579,No,All,All
580,No,All,All
581,No,All,All
582,No,All,All
583,No,All,All
584,No,All,All
585,No,All,All
586,No,All,All
587,No,All,All
588,No,All,All
589,No,All,All
590,No,All,All
591,No,All,All
592,No,All,All
593,No,All,All
594,No,All,All
595,No,All,All
596,No,All,All
597,No,All,All
598,No,All,All
599,No,All,All
600,No,All,All
601,No,All,All
602,No,All,All
603,No,All,All
604,No,All,All
605,No,All,All
606,No,All,All
607,No,All,All
608,No,All,All
609,No,All,All
610,No,All,All
611,No,All,All
612,No,All,All
613,No,All,All
614,No,All,All
615,No,All,All
616,No,All,All
617,No,All,All
618,No,All,All
619,No,All,All
620,No,All,All
621,No,All,All
622,No,All,All
623,No,All,All
624,No,All,All
625,No,All,All
626,No,All,All
627,No,All,All
628,No,All,All
629,No,All,All
630,No,All,All
631,No,All,All
632,No,All,All
633,No,All,All
634,No,All,All
635,No,All,All
636,No,All,All
637,No,All,All
638,No,All,All
639,No,All,All
640,No,All,All
641,No,All,All
642,No,All,All
643,No,All,All
644,No,All,All
645,No,All,All
646,No,All,All
647,No,All,All
648,No,All,All
649,No,All,All
650,No,All,All
651,No,All,All
652,No,All,All
653,No,All,All
654,No,All,All
655,No,All,All
656,No,All,All
657,No,All,All
658,No,All,All
659,No,All,All
660,No,All,All
661,No,All,All
662,No,All,All
663,No,All,All
664,No,All,All
665,No,All,All
666,No,All,All
667,No,All,All
668,No,All,All
669,No,All,All
670,No,All,All
671,No,All,All
672,No,All,All
673,No,All,All
674,No,All,All
675,No,All,All
676,No,All,All
677,No,All,All
678,No,All,All
679,No,All,All
680,No,All,All
681,No,All,All
682,No,All,All
683,No,All,All
684,No,All,All
685,No,All,All
686,No,All,All
687,No,All,All
688,No,All,All
689,No,All,All
690,No,All,All
691,No,All,All
692,No,All,All
693,No,All,All
694,No,All,All
695,No,All,All
696,No,All,All
697,No,All,All
698,No,All,All
699,No,All,All
700,No,All,All
701,No,All,All
702,No,All,All
703,No,All,All
704,No,All,All
705,No,All,All
706,No,All,All
707,No,All,All
708,No,All,All
709,No,All,All
710,No,All,All
711,No,All,All
712,No,All,All
713,No,All,All
714,No,All,All
715,No,All,All
716,No,All,All
717,No,All,All
718,No,All,All
719,No,All,All
720,No,All,All
721,No,All,All
722,No,All,All
723,No,All,All
724,No,All,All
725,No,All,All
726,No,All,All
727,No,All,All
728,No,All,All
729,No,All,All
730,No,All,All
731,No,All,All
732,No,All,All
733,No,All,All
734,No,All,All
735,No,All,All
736,No,All,All
737,No,All,All
738,No,All,All
739,No,All,All
740,No,All,All
741,No,All,All
742,No,All,All
743,No,All,All
744,No,All,All
745,No,All,All
746,No,All,All
747,No,All,All
748,No,All,All
749,No,All,All
750,No,All,All
751,No,All,All
752,No,All,All
753,No,All,All
754,No,All,All
755,No,All,All
756,No,All,All
757,No,All,All
758,No,All,All
759,No,All,All
760,No,All,All
761,No,All,All
762,No,All,All
763,No,All,All
764,No,All,All
765,No,All,All
766,No,All,All
767,No,All,All
768,No,All,All
769,No,All,All
770,No,All,All
771,No,All,All
772,No,All,All
773,No,All,All
774,No,All,All
775,No,All,All
776,No,All,All
777,No,All,All
778,No,All,All
779,No,All,All
780,No,All,All
781,No,All,All
782,No,All,All
783,No,All,All
784,No,All,All
785,No,All,All
786,No,All,All
787,No,All,All
788,No,All,All
789,No,All,All
790,No,All,All
791,No,All,All
792,No,All,All
793,No,All,All
794,No,All,All
795,No,All,All
796,No,All,All
797,No,All,All
798,No,All,All
799,No,All,All
800,No,All,All
801,No,All,All
802,No,All,All
803,No,All,All
804,No,All,All
805,No,All,All
806,No,All,All
807,No,All,All
808,No,All,All
809,No,All,All
810,No,All,All
811,No,All,All
812,No,All,All
813,No,All,All
814,No,All,All
815,No,All,All
816,No,All,All
817,No,All,All
818,No,All,All
819,No,All,All
820,No,All,All
821,No,All,All
822,No,All,All
823,No,All,All
824,No,All,All
825,No,All,All
826,No,All,All
827,No,All,All
828,No,All,All
829,No,All,All
830,No,All,All
831,No,All,All
832,No,All,All
833,No,All,All
834,No,All,All
835,No,All,All
836,No,All,All
837,No,All,All
838,No,All,All
839,No,All,All
840,No,All,All
841,No,All,All
842,No,All,All
843,No,All,All
844,No,All,All
845,No,All,All
846,No,All,All
847,No,All,All
848,No,All,All
849,No,All,All
850,No,All,All
851,No,All,All
852,No,All,All
853,No,All,All
854,No,All,All
855,No,All,All
856,No,All,All
857,No,All,All
858,No,All,All
859,No,All,All
860,No,All,All
861,No,All,All
862,No,All,All
863,No,All,All
864,No,All,All
865,No,All,All
866,No,All,All
867,No,All,All
868,No,All,All
869,No,All,All
870,No,All,All
871,No,All,All
872,No,All,All
873,No,All,All
874,No,All,All
875,No,All,All
876,No,All,All
877,No,All,All
878,No,All,All
879,No,All,All
880,No,All,All
881,No,All,All
882,No,All,All
883,No,All,All
884,No,All,All
885,No,All,All
886,No,All,All
887,No,All,All
888,No,All,All
889,No,All,All
890,No,All,All
891,No,All,All
892,No,All,All
893,No,All,All
894,No,All,All
895,No,All,All
896,No,All,All
897,No,All,All
898,No,All,All
899,No,All,All
900,No,All,All
901,No,All,All
902,No,All,All
903,No,All,All
904,No,All,All
905,No,All,All
906,No,All,All
907,No,All,All
908,No,All,All
909,No,All,All
910,No,All,All
911,No,All,All
912,No,All,All
913,No,All,All
914,No,All,All
915,No,All,All
916,No,All,All
917,No,All,All
918,No,All,All
919,No,All,All
920,No,All,All
921,No,All,All
922,No,All,All
923,No,All,All
924,No,All,All
925,No,All,All
926,No,All,All
927,No,All,All
928,No,All,All
929,No,All,All
930,No,All,All
931,No,All,All
932,No,All,All
933,No,All,All
934,No,All,All
935,No,All,All
936,No,All,All
937,No,All,All
938,No,All,All
939,No,All,All
940,No,All,All
941,No,All,All
942,No,All,All
943,No,All,All
944,No,All,All
945,No,All,All
946,No,All,All
947,No,All,All
948,No,All,All
949,No,All,All
950,No,All,All
951,No,All,All
952,No,All,All
953,No,All,All
954,No,All,All
955,No,All,All
956,No,All,All
957,No,All,All
958,No,All,All
959,No,All,All
960,No,All,All
961,No,All,All
962,No,All,All
963,No,All,All
964,No,All,All
965,No,All,All
966,No,All,All
967,No,All,All
968,No,All,All
969,No,All,All
970,No,All,All
971,No,All,All
972,No,All,All
973,No,All,All
974,No,All,All
975,No,All,All
976,No,All,All
977,No,All,All
978,No,All,All
979,No,All,All
980,No,All,All
981,No,All,All
982,No,All,All
983,No,All,All
984,No,All,All
985,No,All,All
986,No,All,All
987,No,All,All
988,No,All,All
989,No,All,All
990,No,All,All
991,No,All,All
992,No,All,All
993,No,All,All
994,No,All,All
995,No,All,All
996,No,All,All
997,No,All,All
998,No,All,All
999,No,All,All
1000,No,All,All
1001,No,All,All
1002,No,All,All
1003,No,All,All
1004,No,All,All
1005,No,All,All
1006,No,All,All
1007,No,All,All
1008,No,All,All
1009,No,All,All
1010,No,All,All
1011,No,All,All
1012,No,All,All
1013,No,All,All
1014,No,All,All
1015,No,All,All
1016,No,All,All
1017,No,All,All
1018,No,All,All
1019,No,All,All
1020,No,All,All
1021,No,All,All
1022,No,All,All
1023,No,All,All
1024,No,All,All
1025,No,All,All
1026,No,All,All
1027,No,All,All
1028,No,All,All
1029,No,All,All
1030,No,All,All
1031,No,All,All
1032,No,All,All
1033,No,All,All
1034,No,All,All
1035,No,All,All
1036,No,All,All
1037,No,All,All
1038,No,All,All
1039,No,All,All
1040,No,All,All
1041,No,All,All
1042,No,All,All
1043,No,All,All
1044,No,All,All
1045,No,All,All
1046,No,All,All
1047,No,All,All
1048,No,All,All
1049,No,All,All
1050,No,All,All
1051,No,All,All
1052,No,All,All
1053,No,All,All
1054,No,All,All
1055,No,All,All
1056,No,All,All
1057,No,All,All
1058,No,All,All
1059,No,All,All
1060,No,All,All
1061,No,All,All
1062,No,All,All
1063,No,All,All
1064,No,All,All
1065,No,All,All
1066,No,All,All
1067,No,All,All
1068,No,All,All
1069,No,All,All
1070,No,All,All
1071,No,All,All
1072,No,All,All
1073,No,All,All
1074,No,All,All
1075,No,All,All
1076,No,All,All
1077,No,All,All
1078,No,All,All
1079,No,All,All
1080,No,All,All
1081,No,All,All
1082,No,All,All
1083,No,All,All
1084,No,All,All
1085,No,All,All
1086,No,All,All
1087,No,All,All
1088,No,All,All
1089,No,All,All
1090,No,All,All
1091,No,All,All
1092,No,All,All
1093,No,All,All
1094,No,All,All
1095,No,All,All
1096,No,All,All
1097,No,All,All
1098,No,All,All
1099,No,All,All
1100,No,All,All
1101,No,All,All
1102,No,All,All
1103,No,All,All
1104,No,All,All
1105,No,All,All
1106,No,All,All
1107,No,All,All
1108,No,All,All
1109,No,All,All
1110,No,All,All
1111,No,All,All
1112,No,All,All
1113,No,All,All
1114,No,All,All
1115,No,All,All
1116,No,All,All
1117,No,All,All
1118,No,All,All
1119,No,All,All
1120,No,All,All
1121,No,All,All
1122,No,All,All
1123,No,All,All
1124,No,All,All
1125,No,All,All
1126,No,All,All
1127,No,All,All
1128,No,All,All
1129,No,All,All
1130,No,All,All
1131,No,All,All
1132,No,All,All
1133,No,All,All
1134,No,All,All
1135,No,All,All
1136,No,All,All
1137,No,All,All
1138,No,All,All
1139,No,All,All
1140,No,All,All
1141,No,All,All
1142,No,All,All
1143,No,All,All
1144,No,All,All
1145,No,All,All
1146,No,All,All
1147,No,All,All
1148,No,All,All
1149,No,All,All
1150,No,All,All
1151,No,All,All
1152,No,All,All
1153,No,All,All
1154,No,All,All
1155,No,All,All
1156,No,All,All
1157,No,All,All
1158,No,All,All
1159,No,All,All
1160,No,All,All
1161,No,All,All
1162,No,All,All
1163,No,All,All
1164,No,All,All
1165,No,All,All
1166,No,All,All
1167,No,All,All
1168,No,All,All
1169,No,All,All
1170,No,All,All
1171,No,All,All
1172,No,All,All
1173,No,All,All
1174,No,All,All
1175,No,All,All
1176,No,All,All
1177,No,All,All
1178,No,All,All
1179,No,All,All
1180,No,All,All
1181,No,All,All
1182,No,All,All
1183,No,All,All
1184,No,All,All
1185,No,All,All
1186,No,All,All
1187,No,All,All
1188,No,All,All
1189,No,All,All
1190,No,All,All
1191,No,All,All
1192,No,All,All
1193,No,All,All
1194,No,All,All
1195,No,All,All
1196,No,All,All
1197,No,All,All
1198,No,All,All
1199,No,All,All
1200,No,All,All
1201,No,All,All
1202,No,All,All
1203,No,All,All
1204,No,All,All
1205,No,All,All
1206,No,All,All
1207,No,All,All
1208,No,All,All
1209,No,All,All
1210,No,All,All
1211,No,All,All
1212,No,All,All
1213,No,All,All
1214,No,All,All
1215,No,All,All
1216,No,All,All
1217,No,All,All
1218,No,All,All
1219,No,All,All
1220,No,All,All
1221,No,All,All
1222,No,All,All
1223,No,All,All
1224,No,All,All
1225,No,All,All
1226,No,All,All
1227,No,All,All
1228,No,All,All
1229,No,All,All
1230,No,All,All
1231,No,All,All
1232,No,All,All
1233,No,All,All
1234,No,All,All
1235,No,All,All
1236,No,All,All
1237,No,All,All
1238,No,All,All
1239,No,All,All
1240,No,All,All
1241,No,All,All
1242,No,All,All
1243,No,All,All
1244,No,All,All
1245,No,All,All
1246,No,All,All
1247,No,All,All
1248,No,All,All
1249,No,All,All
1250,No,All,All
1251,No,All,All
1252,No,All,All
1253,No,All,All
1254,No,All,All
1255,No,All,All
1256,No,All,All
1257,No,All,All
1258,No,All,All
1259,No,All,All
1260,No,All,All
1261,No,All,All
1262,No,All,All
1263,No,All,All
1264,No,All,All
1265,No,All,All
1266,No,All,All
1267,No,All,All
1268,No,All,All
1269,No,All,All
1270,No,All,All
1271,No,All,All
1272,No,All,All
1273,Yes,All,All
1274,Yes,All,All
1275,Yes,All,All
1276,Yes,All,All
1277,Yes,All,All
1278,Yes,All,All
1279,Yes,All,All
1280,Yes,All,All
1281,Yes,All,All
1282,Yes,All,All
1283,Yes,All,All
1284,Yes,All,All
1285,Yes,All,All
1286,Yes,All,All
1287,Yes,All,All
1288,Yes,All,All
1289,Yes,All,All
1290,Yes,All,All
1291,Yes,All,All
1292,Yes,All,All
1293,Yes,All,All
1294,Yes,All,All
1295,Yes,All,All
1296,Yes,All,All
1297,Yes,All,All
1298,Yes,All,All
1299,Yes,All,All
1300,Yes,All,All
1301,Yes,All,All
1302,Yes,All,All
1303,Yes,All,All
1304,Yes,All,All
1305,Yes,All,All
1306,Yes,All,All
1307,Yes,All,All
1308,Yes,All,All
1309,Yes,All,All
1310,Yes,All,All
1311,Yes,All,All
1312,Yes,All,All
1313,Yes,All,All
1314,Yes,All,All
1315,Yes,All,All
1316,Yes,All,All
1317,Yes,All,All
1318,Yes,All,All
1319,Yes,All,All
1320,Yes,All,All
1321,Yes,All,All
1322,Yes,All,All
1323,Yes,All,All
1324,Yes,All,All
1325,Yes,All,All
1326,Yes,All,All
1327,Yes,All,All
1328,Yes,All,All
1329,Yes,All,All
1330,Yes,All,All
1331,Yes,All,All
1332,Yes,All,All
1333,Yes,All,All
1334,Yes,All,All
1335,Yes,All,All
1336,Yes,All,All
1337,Yes,All,All
1338,Yes,All,All
1339,Yes,All,All
1340,Yes,All,All
1341,Yes,All,All
1342,Yes,All,All
1343,Yes,All,All
1344,Yes,All,All
1345,Yes,All,All
1346,Yes,All,All
1347,Yes,All,All
1348,Yes,All,All
1349,Yes,All,All
1350,Yes,All,All
1351,Yes,All,All
1352,Yes,All,All
1353,Yes,All,All
1354,Yes,All,All
1355,Yes,All,All
1356,Yes,All,All
1357,Yes,All,All
1358,Yes,All,All
1359,Yes,All,All
1360,Yes,All,All
1361,Yes,All,All
1362,Yes,All,All
1363,Yes,All,All
1364,Yes,All,All
1365,Yes,All,All
1366,Yes,All,All
1367,Yes,All,All
1368,Yes,All,All
1369,Yes,All,All
1370,Yes,All,All
1371,Yes,All,All
1372,Yes,All,All
1373,Yes,All,All
1374,Yes,All,All
1375,Yes,All,All
1376,Yes,All,All
1377,Yes,All,All
1378,Yes,All,All
1379,Yes,All,All
1380,Yes,All,All
1381,Yes,All,All
1382,Yes,All,All
1383,Yes,All,All
1384,Yes,All,All
1385,Yes,All,All
1386,Yes,All,All
1387,Yes,All,All
1388,Yes,All,All
1389,Yes,All,All
1390,Yes,All,All
1391,Yes,All,All
1392,Yes,All,All
1393,Yes,All,All
1394,Yes,All,All
1395,Yes,All,All
1396,Yes,All,All
1397,Yes,All,All
1398,Yes,All,All
1399,Yes,All,All
1400,Yes,All,All
1401,Yes,All,All
1402,Yes,All,All
1403,Yes,All,All
1404,Yes,All,All
1405,Yes,All,All
1406,Yes,All,All
1407,Yes,All,All
1408,Yes,All,All
1409,Yes,All,All
1410,Yes,All,All
1411,Yes,All,All
1412,Yes,All,All
1413,Yes,All,All
1414,Yes,All,All
1415,Yes,All,All
1416,Yes,All,All
1417,Yes,All,All
1418,Yes,All,All
1419,Yes,All,All
1420,Yes,All,All
1421,Yes,All,All
1422,Yes,All,All
1423,Yes,All,All
1424,Yes,All,All
1425,Yes,All,All
1426,Yes,All,All
1427,Yes,All,All
1428,Yes,All,All
1429,Yes,All,All
1430,Yes,All,All
1431,Yes,All,All
1432,Yes,All,All
1433,Yes,All,All
1434,Yes,All,All
1435,Yes,All,All
1436,Yes,All,All
1437,Yes,All,All
1438,Yes,All,All
1439,Yes,All,All
1440,Yes,All,All
1441,Yes,All,All
1442,Yes,All,All
1443,Yes,All,All
1444,Yes,All,All
1445,Yes,All,All
1446,Yes,All,All
1447,Yes,All,All
1448,Yes,All,All
1449,Yes,All,All
1450,Yes,All,All
1451,Yes,All,All
1452,Yes,All,All
1453,Yes,All,All
1454,Yes,All,All
1455,Yes,All,All
1456,Yes,All,All
1457,Yes,All,All
1458,Yes,All,All
1459,Yes,All,All
1460,Yes,All,All
1461,Yes,All,All
1462,Yes,All,All
1463,Yes,All,All
1464,Yes,All,All
1465,Yes,All,All
1466,Yes,All,All
1467,Yes,All,All
1468,Yes,All,All
1469,Yes,All,All
1470,Yes,All,All
1471,Yes,All,All
1472,Yes,All,All
1473,Yes,All,All
1474,Yes,All,All
1475,Yes,All,All
1476,Yes,All,All
1477,Yes,All,All
1478,Yes,All,All
1479,Yes,All,All
1480,Yes,All,All
1481,Yes,All,All
1482,Yes,All,All
1483,Yes,All,All
1484,Yes,All,All
1485,Yes,All,All
1486,Yes,All,All
1487,Yes,All,All
1488,Yes,All,All
1489,Yes,All,All
1490,Yes,All,All
1491,Yes,All,All
1492,Yes,All,All
1493,Yes,All,All
1494,Yes,All,All
1495,Yes,All,All
1496,Yes,All,All
1497,Yes,All,All
1498,Yes,All,All
1499,Yes,All,All
1500,Yes,All,All
1501,Yes,All,All
1502,Yes,All,All
1503,Yes,All,All
1504,Yes,All,All
1505,Yes,All,All
1506,Yes,All,All
1507,Yes,All,All
1508,Yes,All,All
1509,Yes,All,All
1510,Yes,All,All
1511,Yes,All,All
1512,Yes,All,All
1513,Yes,All,All
1514,Yes,All,All
1515,Yes,All,All
1516,Yes,All,All
1517,Yes,All,All
1518,Yes,All,All
1519,Yes,All,All
1520,Yes,All,All
1521,Yes,All,All
1522,Yes,All,All
1523,Yes,All,All
1524,Yes,All,All
1525,Yes,All,All
1526,Yes,All,All
1527,Yes,All,All
1528,Yes,All,All
1529,Yes,All,All
1530,Yes,All,All
1531,Yes,All,All
1532,Yes,All,All
1533,Yes,All,All
1534,Yes,All,All
1535,Yes,All,All
1536,Yes,All,All
1537,Yes,All,All
1538,Yes,All,All
1539,Yes,All,All
1540,Yes,All,All
1541,Yes,All,All
1542,Yes,All,All
1543,Yes,All,All
1544,Yes,All,All
1545,Yes,All,All
1546,Yes,All,All
1547,Yes,All,All
1548,Yes,All,All
1549,Yes,All,All
1550,Yes,All,All
1551,Yes,All,All
1552,Yes,All,All
1553,Yes,All,All
1554,Yes,All,All
1555,Yes,All,All
1556,Yes,All,All
1557,Yes,All,All
1558,Yes,All,All
1559,Yes,All,All
1560,Yes,All,All
1561,Yes,All,All
1562,Yes,All,All
1563,Yes,All,All
1564,Yes,All,All
1565,Yes,All,All
1566,Yes,All,All
1567,Yes,All,All
1568,Yes,All,All
1569,Yes,All,All
1570,Yes,All,All
1571,Yes,All,All
1572,Yes,All,All
1573,Yes,All,All
1574,Yes,All,All
1575,Yes,All,All
1576,Yes,All,All
1577,Yes,All,All
1578,Yes,All,All
1579,Yes,All,All
1580,Yes,All,All
1581,Yes,All,All
1582,Yes,All,All
1583,Yes,All,All
1584,Yes,All,All
1585,Yes,All,All
1586,Yes,All,All
1587,Yes,All,All
1588,Yes,All,All
1589,Yes,All,All
1590,Yes,All,All
1591,Yes,All,All
1592,Yes,All,All
1593,Yes,All,All
